用户号码,开始时间,开始基站,开始基站经度,开始基站纬度,结束时间,结束基站,结束基站经度,结束基站纬度,停留时间
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827090841,84863490,118.74601,32.06161,20180827090844,230825488,0,0,3
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827090951,230825488,0,0,20180827091013,230825478,118.748776,32.06107,22
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827091013,230825478,118.748776,32.06107,20180827091018,83903498,0,0,5
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827091344,230825488,0,0,20180827091407,230825478,118.748776,32.06107,23
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827091407,230825478,118.748776,32.06107,20180827091430,84297987,118.74621,32.06161,23
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827091430,84297987,118.74621,32.06161,20180827091435,84863497,118.74615,32.06169,5
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827091435,84863497,118.74615,32.06169,20180827091504,83903498,0,0,29
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827091608,230825488,0,0,20180827091622,230825478,118.748776,32.06107,14
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827091622,230825478,118.748776,32.06107,20180827091737,4294967295,0,0,75
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827095616,84297987,118.74621,32.06161,20180827095619,230825478,118.748776,32.06107,3
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827095619,230825478,118.748776,32.06107,20180827095624,83903498,0,0,5
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827095709,83903498,0,0,20180827095838,84863497,118.74615,32.06169,89
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827095838,84863497,118.74615,32.06169,20180827095851,230825488,0,0,13
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827095856,84297987,118.74621,32.06161,20180827095933,84863497,118.74615,32.06169,37
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827095933,84863497,118.74615,32.06169,20180827100118,83903498,0,0,105
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827101857,84297987,118.74621,32.06161,20180827101917,230825478,118.748776,32.06107,20
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827101917,230825478,118.748776,32.06107,20180827102025,83903498,0,0,68
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827102025,83903498,0,0,20180827104421,84862982,118.739602,32.05798,1436
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827104421,84862982,118.739602,32.05798,20180827104422,230825488,0,0,1
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827104422,230825488,0,0,20180827104534,230825478,118.748776,32.06107,72
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827104534,230825478,118.748776,32.06107,20180827104755,83903498,0,0,141
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827104755,83903498,0,0,20180827105125,84863497,118.74615,32.06169,210
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105125,84863497,118.74615,32.06169,20180827105128,230825488,0,0,3
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105128,230825488,0,0,20180827105216,9766811,118.741478,32.058667,48
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105216,9766811,118.741478,32.058667,20180827105247,84862982,118.739602,32.05798,31
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105247,84862982,118.739602,32.05798,20180827105350,84862980,118.739602,32.05798,63
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105350,84862980,118.739602,32.05798,20180827105406,9766811,118.741478,32.058667,16
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105406,9766811,118.741478,32.058667,20180827105410,84863491,118.74601,32.06161,4
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105410,84863491,118.74601,32.06161,20180827105456,9766811,118.741478,32.058667,46
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105456,9766811,118.741478,32.058667,20180827105514,84863491,118.74601,32.06161,18
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105514,84863491,118.74601,32.06161,20180827105604,84863497,118.74615,32.06169,50
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105604,84863497,118.74615,32.06169,20180827105610,83903498,0,0,6
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105610,83903498,0,0,20180827105612,84863497,118.74615,32.06169,2
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105612,84863497,118.74615,32.06169,20180827105703,84863491,118.74601,32.06161,51
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105703,84863491,118.74601,32.06161,20180827105717,84862982,118.739602,32.05798,14
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105717,84862982,118.739602,32.05798,20180827105723,83903498,0,0,6
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105723,83903498,0,0,20180827105731,84863491,118.74601,32.06161,8
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105731,84863491,118.74601,32.06161,20180827105739,84862982,118.739602,32.05798,8
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105739,84862982,118.739602,32.05798,20180827105742,83903498,0,0,3
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105742,83903498,0,0,20180827105743,84863491,118.74601,32.06161,1
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105743,84863491,118.74601,32.06161,20180827105758,84863497,118.74615,32.06169,15
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105758,84863497,118.74615,32.06169,20180827105803,230825488,0,0,5
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105803,230825488,0,0,20180827105826,84862980,118.739602,32.05798,23
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105826,84862980,118.739602,32.05798,20180827105830,83903498,0,0,4
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105830,83903498,0,0,20180827105834,9766811,118.741478,32.058667,4
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105834,9766811,118.741478,32.058667,20180827105835,84863243,0,0,1
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105835,84863243,0,0,20180827105840,84862982,118.739602,32.05798,5
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105840,84862982,118.739602,32.05798,20180827105846,230825488,0,0,6
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105846,230825488,0,0,20180827105847,84863496,118.74615,32.06169,1
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105847,84863496,118.74615,32.06169,20180827105857,9766811,118.741478,32.058667,10
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105857,9766811,118.741478,32.058667,20180827105926,84863497,118.74615,32.06169,29
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827105926,84863497,118.74615,32.06169,20180827110000,83903498,0,0,34
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110000,83903498,0,0,20180827110235,84863491,118.74601,32.06161,155
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110235,84863491,118.74601,32.06161,20180827110311,230825478,118.748776,32.06107,36
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110311,230825478,118.748776,32.06107,20180827110341,83903498,0,0,30
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110341,83903498,0,0,20180827110455,84863235,118.74565,32.05711,74
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110455,84863235,118.74565,32.05711,20180827110644,84297987,118.74621,32.06161,109
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110711,83903498,0,0,20180827110853,84863490,118.74601,32.06161,102
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110853,84863490,118.74601,32.06161,20180827110854,84863235,118.74565,32.05711,1
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110854,84863235,118.74565,32.05711,20180827110856,84863491,118.74601,32.06161,2
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827110856,84863491,118.74601,32.06161,20180827110910,230825488,0,0,14
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111043,83903498,0,0,20180827111055,84863235,118.74565,32.05711,12
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111055,84863235,118.74565,32.05711,20180827111409,84862983,118.7388511,32.0542501,194
